tau,h,optimalh_k_ICS,optimalh_I_CS,optimalh_k_ICX,optimalh_I_CX
10.0,11.597989949748744,0.008554672535565685,2.009063379765528,0.0014488283956730537,1.4586087801279009
10.0,11.693467336683417,0.0003696550215126699,1.6024134405854062,0.009806757216915775,1.218256224742618
10.0,11.78894472361809,0.008554672535565685,1.9920745051083943,0.0012638482029342971,1.4522538776640594
10.0,11.884422110552764,0.00028128886609642633,1.60428754154923,0.008554672535565685,1.2166197483105152
10.0,11.979899497487438,0.008554672535565685,1.9751932952283318,0.0012638482029342971,1.4461100135445317
10.0,12.075376884422111,0.00024537511066398166,1.6059902638290586,0.008554672535565685,1.2150882027889622
10.0,12.170854271356784,0.007462448653723031,1.9586990352111924,0.0011024854874674263,1.4401998925920179
10.0,12.266331658291456,0.0002140466694217523,1.6074299343097618,0.007462448653723031,1.213602733165208
10.0,12.36180904522613,0.007462448653723031,1.9425445165430428,0.0009617248711152964,1.434386443402388
10.0,12.457286432160803,0.00018671810912919206,1.6086276670257442,0.00650967523045817,1.2120914622829644
10.0,12.552763819095476,0.007462448653723031,1.926498389911912,0.0009617248711152964,1.4287232099554772
10.0,12.64824120603015,0.00016287874214985498,1.60960806746822,0.005678547829591997,1.2105705993073375
10.0,12.743718592964823,0.00650967523045817,1.9110138865254758,0.0008389359662650986,1.4233823851338778
10.0,12.839195979899497,0.00014208308325339223,1.6103973115132133,0.005678547829591997,1.20919301884176
10.0,12.93467336683417,0.00650967523045817,1.8956617930115622,0.0007318242219076182,1.418179025924541
10.0,13.030150753768844,0.00010811807510766077,1.611179630947838,0.00495353520895917,1.2078124679606044
10.0,13.125628140703517,0.005678547829591997,1.8805420619269166,0.0006383880454607353,1.4131249262068615
10.0,13.22110552763819,9.431402320497317e-05,1.6119513261293812,0.004321089088750567,1.2064370523623074
10.0,13.316582914572864,0.005678547829591997,1.8658579104186725,0.0005568813990945267,1.4082236192574191
10.0,13.412060301507537,8.227241341700473e-05,1.6125331370259957,0.0037693909753883635,1.2050790017583113
10.0,13.507537688442211,0.005678547829591997,1.851268751201225,0.0005568813990945267,1.4035875501555224
10.0,13.603015075376884,7.176822469706299e-05,1.6129516596104014,0.0037693909753883635,1.2038093274197952
10.0,13.698492462311558,0.00495353520895917,1.8370559895070573,0.00048578117159706736,1.3990971541201123
10.0,13.793969849246231,6.260516572014815e-05,1.6132323873536674,0.0032881313098424274,1.202577479281817
10.0,13.889447236180905,0.00495353520895917,1.823102441680965,0.0004237587160604063,1.3947345525789525
10.0,13.984924623115578,5.4612006795364095e-05,1.6133984418555243,0.002868316813342012,1.2013714931014008
10.0,14.080402010050252,0.004321089088750567,1.8092487551192509,0.0003696550215126699,1.3904932779536887
10.0,14.175879396984925,4.7639380104013405e-05,1.6134697626665462,0.0025021024303602817,1.2001990885994906
10.0,14.271356783919597,0.004321089088750567,1.7959055964245796,0.0003696550215126699,1.3864279736982914
